personwd	Andrews_Norton	Q4759097
personwd	Alanis_Obomsawin	Q637195
personwd	Trudi_Canavan	Q256821
personwd	W._L._George	Q5756011
personwd	René_Benjamin	Q3141758
personwd	Edward_Lloyd_(Continental_Congress)	Q5344185
personwd	Mauricio_de_Sousa	Q657432
personwd	Laurens_Perseus_Hickok	Q1808043
personwd	Frederick_Smith_(entomologist)	Q1375075
personwd	Samuel_Sterett	Q1203736
personwd	Philip_Key_(American_politician)	Q219450
personwd	Karl_Otto_Pöhl	Q97051
personwd	Philarète_Chasles	Q962402
personwd	Jef_Geeraerts	Q1394484
personwd	Bartolomeo_Borghesi	Q581258
personwd	John_Miley	Q6248737
personwd	Issachar_Berend_Lehmann	Q75614
personwd	Kenneth_Hare	Q421734
personwd	Henry_Wharton_(writer)	Q1243170
personwd	Leffmann_Behrends	Q1678546
personwd	William_Burt_Pope	Q8006194
personwd	Geoffrey_Fenton	Q1502972
personwd	Russell_Brockbank	Q7381383
personwd	Anna_Trapnel	Q4767556
personwd	Samuel_Cooper_(painter)	Q1382316
personwd	Lawrence_Humphrey	Q1807996
personwd	Laleh_Seddigh	Q542437
personwd	James_Bright	Q15513126
personwd	Karim_Rashid	Q718039
personwd	Owen_Jones_(antiquary)	Q7114529
personwd	Vincenzo_Lunardi	Q2307274
personwd	Luc_Donckerwolke	Q984210
personwd	Robert_Walsh_(diplomat)	Q7350838
personwd	William_Chaffey	Q8006669
personwd	Max_Emanuel_Ainmiller	Q571009
personwd	Harrison_Salisbury	Q2585413
personwd	Carolus_Sigonius	Q544176
personwd	Erik_Palmén	Q3268888
personwd	Frank_Farrelly	Q1443227
personwd	Paul_Saffo	Q7153403
personwd	Johannes_Brenz	Q64128
personwd	Anders_Fryxell	Q1959091
personwd	Alexander_Grant_Dallas	Q4719002
personwd	Michael_Banim	Q3308017
personwd	Émile_Henry_(anarchist)	Q285998
personwd	Thomas_Cooper_(American_politician,_born_1759)	Q2382927
personwd	Kaj_Franck	Q909809
personwd	David_Carnegie,_4th_Earl_of_Northesk	Q3703132
personwd	Josef_Nesvadba	Q174208
personwd	Óscar_Domínguez	Q293314
personwd	Henry_Stevens_(bibliographer)	Q15506342
personwd	William_Ogilvie_(Ardglass)	Q8016317
personwd	Mary_Abigail_Dodge	Q6778774
personwd	Alma_Preinkert	Q4733590
personwd	Charlotte_Adams_(mountain_climber)	Q5085820
personwd	William_McKendree	Q8015455
personwd	Archibald_Colquhoun_(politician)	Q4786272
personwd	Sir_James_Montgomery,_1st_Baronet	Q7527468
personwd	William_Hutchinson_(superintendent)	Q8012741
personwd	Samuel_Green_(freedman)	Q7411530
personwd	Cornelis_de_Bruijn	Q2535359
personwd	John_S._Duncan	Q6256238
personwd	Marion_Dönhoff	Q62443
personwd	Alan_Heusaff	Q2830523
personwd	Henfil	Q1999056
personwd	Robert_Aitken_(publisher)	Q5544753
personwd	James_Archer_(artist)	Q1069608
personwd	Joseph_Stevens_Buckminster	Q6287188
personwd	André_Turcat	Q2848727
personwd	Kenneth_Allen_(physicist)	Q6389807
personwd	Cephas_Thompson	Q5063492
personwd	Waldo_K._Lyon	Q7961571
personwd	Simon_Willard	Q7520049
personwd	Firmin_Didot	Q1368849
personwd	Frederick_Dielman	Q5497657
personwd	Dimitris_Horn	Q1226025
personwd	Samuel_Bowles_(journalist)	Q7410959
personwd	David_Sherman_Boardman	Q5239734
personwd	Edmond_Jurien_de_La_Gravière	Q963637
personwd	Joseph_Addison_Alexander	Q6280911
personwd	Raphaël_Confiant	Q2068218
personwd	Mathurin_Régnier	Q1238646
personwd	Henry_Coxe	Q1239304
personwd	Aleksei_Kapler	Q2834368
personwd	John_Henry_Boalt	Q6238740
personwd	John_Campbell_Brown	Q2352981
personwd	Leo_Lionni	Q964731
personwd	John_Maddison_Morton	Q6246357
personwd	Nicholas_Trivet	Q1751724
personwd	Louis_Pouzin	Q3083180
personwd	Fortunio_Liceti	Q1088345
personwd	Yō_Takeyama	Q8062636
personwd	Henry_Widdowson	Q5730119
personwd	Dagny_Juel	Q455379
personwd	Carlo_Passaglia	Q338801
personwd	Benjamin_Mackall_IV	Q4888996
personwd	Martin_Pring	Q430202
personwd	Mary_Eileen_Ahern	Q6779390
personwd	Richmal_Mangnall	Q7330718
personwd	Julia_Brace	Q6306224
personwd	Robert_Slimbach	Q1372822
personwd	Fulwar_Craven,_4th_Baron_Craven	Q5508510
personwd	Giovan_Battista_Cini	Q3106940
personwd	Jean_Bolland	Q554434
personwd	Francesco_Robortello	Q1751281
personwd	Jared_Eliot	Q6159950
personwd	Robert_Copland	Q266609
personwd	Pietro_Alcionio	Q3903627
personwd	John_D._Henley	Q2319490
personwd	Jeremy_Greenwood	Q6181404
personwd	George_Christy	Q5537906
personwd	Bengt_af_Klintberg	Q817246
personwd	Peter_Paphides	Q7176294
personwd	Rémy_Ceillier	Q3456130
personwd	Claudius_Amyand_(surgeon)	Q2688728
personwd	Abbé_Aubert	Q1684952
